NAME                                        	CHART VERSION	APP VERSION  	DESCRIPTION                                       
bitnami/airflow                             	14.0.17      	2.5.3        	Apache Airflow is a tool to express and execute...
bitnami/apache                              	9.2.21       	2.4.56       	Apache HTTP Server is an open-source HTTP serve...
bitnami/appsmith                            	0.1.19       	1.9.12       	Appsmith is an open source platform for buildin...
bitnami/argo-cd                             	4.5.3        	2.6.7        	Argo CD is a continuous delivery tool for Kuber...
bitnami/argo-workflows                      	5.1.13       	3.4.6        	Argo Workflows is meant to orchestrate Kubernet...
bitnami/aspnet-core                         	4.0.10       	7.0.4        	ASP.NET Core is an open-source framework for we...
bitnami/cassandra                           	10.1.2       	4.1.1        	Apache Cassandra is an open source distributed ...
bitnami/cert-manager                        	0.9.5        	1.11.0       	cert-manager is a Kubernetes add-on to automate...
bitnami/clickhouse                          	3.1.5        	23.3.1       	ClickHouse is an open-source column-oriented OL...
bitnami/common                              	2.2.4        	2.2.4        	A Library Helm Chart for grouping common logic ...
bitnami/concourse                           	2.0.7        	7.9.1        	Concourse is an automation system written in Go...
bitnami/consul                              	10.10.2      	1.15.2       	HashiCorp Consul is a tool for discovering and ...
bitnami/contour                             	11.1.2       	1.24.2       	Contour is an open source Kubernetes ingress co...
bitnami/contour-operator                    	4.0.3        	1.24.0       	The Contour Operator extends the Kubernetes API...
bitnami/dataplatform-bp2                    	12.0.5       	1.0.1        	DEPRECATED This Helm chart can be used for the ...
bitnami/discourse                           	10.0.3       	3.0.1        	Discourse is an open source discussion platform...
bitnami/dokuwiki                            	13.1.19      	20220731.1.0 	DokuWiki is a standards-compliant wiki optimize...
bitnami/drupal                              	13.0.13      	10.0.7       	Drupal is one of the most versatile open source...
bitnami/ejbca                               	6.3.16       	7.11.0       	EJBCA is an enterprise class PKI Certificate Au...
bitnami/elasticsearch                       	19.6.0       	8.6.2        	Elasticsearch is a distributed search and analy...
bitnami/etcd                                	8.8.1        	3.5.7        	etcd is a distributed key-value store designed ...
bitnami/external-dns                        	6.15.1       	0.13.4       	ExternalDNS is a Kubernetes addon that configur...
